COUNTRIES,REGIONS,Years,Sales Value
QATAR,ASIA/OCEANIA/MIDDLE EAST,2008,60000
QATAR,ASIA/OCEANIA/MIDDLE EAST,2009,40000
QATAR,ASIA/OCEANIA/MIDDLE EAST,2010,40000
QATAR,ASIA/OCEANIA/MIDDLE EAST,2011,45000
QATAR,ASIA/OCEANIA/MIDDLE EAST,2012,60000
QATAR,ASIA/OCEANIA/MIDDLE EAST,2013,65000
QATAR,ASIA/OCEANIA/MIDDLE EAST,2014,71500
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2005,408700
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2006,401100
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2007,404800
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2008,400000
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2009,390000
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2010,450000
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2011,460000
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2012,540000
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2013,570000
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,2014,632700
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2005,109167
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2006,116849
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2007,110814
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2008,100979
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2009,73183
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2010,47273
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2011,33493
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2012,32724
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2013,27955
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,2014,28932
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2005,893159
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2006,932650
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2007,1010790
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2008,1017595
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2009,1221118
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2010,1237482
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2011,1293501
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2012,1256403
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2013,1243868
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,2014,1359834
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2005,2600
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2006,2800
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2007,2900
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2008,3000
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2009,3000
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2010,2000
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2011,7000
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2012,8000
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2013,10000
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,2014,13800
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2005,32985
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2006,45467
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2007,36000
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2008,42000
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2009,46000
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2010,78147
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2011,33160
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2012,36300
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2013,35500
SYRIA,ASIA/OCEANIA/MIDDLE EAST,2014,33400
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2005,5300
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2006,5700
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2007,5800
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2008,6000
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2009,7000
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2010,6500
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2011,7500
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2012,6000
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2013,6000
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,2014,6100
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2005,5200
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2006,5100
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2007,5400
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2008,5000
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2009,3500
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2010,3500
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2011,4000
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2012,3000
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2013,2500
TAHITI,ASIA/OCEANIA/MIDDLE EAST,2014,2500
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2005,325840
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2006,218610
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2007,213327
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2008,141161
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2009,187262
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2010,208300
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2011,235205
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2012,211578
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2013,211824
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,2014,235480
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2005,178291
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2006,184544
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2007,172321
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2008,226805
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2009,230037
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2010,346644
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2011,360441
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2012,660214
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2013,663746
THAILAND,ASIA/OCEANIA/MIDDLE EAST,2014,411402
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2005,3900
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2006,4200
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2007,4300
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2008,4500
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2009,4500
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2010,4500
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2011,5000
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2012,4500
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2013,4500
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,2014,4600
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2005,137000
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2006,150000
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2007,135000
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2008,191544
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2009,90238
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2010,136979
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2011,193268
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2012,211500
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2013,206700
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,2014,206700
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2005,28500
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2006,31100
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2007,31700
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2008,43000
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2009,45000
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2010,43500
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2011,48000
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2012,45000
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2013,45500
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,2014,46000
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2005,24888
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2006,23335
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2007,40115
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2008,50877
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2009,62722
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2010,57778
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2011,64564
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2012,44070
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2013,59857
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,2014,79806
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2005,4000
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2006,4700
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2007,4800
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2008,5000
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2009,5000
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2010,2000
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2011,2000
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2012,2000
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2013,2000
YEMEN,ASIA/OCEANIA/MIDDLE EAST,2014,2100
ALGERIA,AFRICA,2005,71046
ALGERIA,AFRICA,2006,81803
ALGERIA,AFRICA,2007,97239
ALGERIA,AFRICA,2008,111753
ALGERIA,AFRICA,2009,131259
ALGERIA,AFRICA,2010,97765
ALGERIA,AFRICA,2011,165415
ALGERIA,AFRICA,2012,188990
ALGERIA,AFRICA,2013,222710
ALGERIA,AFRICA,2014,178200
ANGOLA,AFRICA,2005,6000
ANGOLA,AFRICA,2006,8000
ANGOLA,AFRICA,2007,3500
ANGOLA,AFRICA,2008,3500
ANGOLA,AFRICA,2009,10000
ANGOLA,AFRICA,2010,20000
ANGOLA,AFRICA,2011,10000
ANGOLA,AFRICA,2012,17000
ANGOLA,AFRICA,2013,20000
ANGOLA,AFRICA,2014,24000
BOTSWANA,AFRICA,2005,12905
BOTSWANA,AFRICA,2006,13073
BOTSWANA,AFRICA,2007,16538
BOTSWANA,AFRICA,2008,20037
BOTSWANA,AFRICA,2009,19354
BOTSWANA,AFRICA,2010,20972
BOTSWANA,AFRICA,2011,25204
BOTSWANA,AFRICA,2012,31471
BOTSWANA,AFRICA,2013,31122
BOTSWANA,AFRICA,2014,26500
BURKINA,AFRICA,2005,500
BURKINA,AFRICA,2006,500
BURKINA,AFRICA,2007,500
BURKINA,AFRICA,2008,600
BURKINA,AFRICA,2009,550
BURKINA,AFRICA,2010,700
BURKINA,AFRICA,2011,500
BURKINA,AFRICA,2012,500
BURKINA,AFRICA,2013,700
BURKINA,AFRICA,2014,700
BURUNDI,AFRICA,2005,500
BURUNDI,AFRICA,2006,500
BURUNDI,AFRICA,2007,600
BURUNDI,AFRICA,2008,700
BURUNDI,AFRICA,2009,700
BURUNDI,AFRICA,2010,300
BURUNDI,AFRICA,2011,200
BURUNDI,AFRICA,2012,210
BURUNDI,AFRICA,2013,210
BURUNDI,AFRICA,2014,200
CAMEROON,AFRICA,2005,1300
CAMEROON,AFRICA,2006,1400
CAMEROON,AFRICA,2007,1400
CAMEROON,AFRICA,2008,1400
CAMEROON,AFRICA,2009,1400
CAMEROON,AFRICA,2010,1400
CAMEROON,AFRICA,2011,1400
CAMEROON,AFRICA,2012,1900
CAMEROON,AFRICA,2013,2400
CAMEROON,AFRICA,2014,2300
CONGO,AFRICA,2005,200
CONGO,AFRICA,2006,200
CONGO,AFRICA,2007,200
CONGO,AFRICA,2008,500
CONGO,AFRICA,2009,1500
CONGO,AFRICA,2010,1500
CONGO,AFRICA,2011,1500
CONGO,AFRICA,2012,1500
CONGO,AFRICA,2013,1500
CONGO,AFRICA,2014,1500
EGYPT,AFRICA,2005,94538
EGYPT,AFRICA,2006,132373
EGYPT,AFRICA,2007,179149
EGYPT,AFRICA,2008,203729
EGYPT,AFRICA,2009,158926
EGYPT,AFRICA,2010,192848
EGYPT,AFRICA,2011,210300
EGYPT,AFRICA,2012,222700
EGYPT,AFRICA,2013,220000
EGYPT,AFRICA,2014,273500
GABON,AFRICA,2005,800
GABON,AFRICA,2006,1000
GABON,AFRICA,2007,1200
GABON,AFRICA,2008,2500
GABON,AFRICA,2009,2000
GABON,AFRICA,2010,2000
GABON,AFRICA,2011,2000
GABON,AFRICA,2012,3500
GABON,AFRICA,2013,3000
GABON,AFRICA,2014,2900
GHANA,AFRICA,2005,2500
GHANA,AFRICA,2006,3000
GHANA,AFRICA,2007,3500
GHANA,AFRICA,2008,3500
GHANA,AFRICA,2009,4500
GHANA,AFRICA,2010,4000
GHANA,AFRICA,2011,6000
GHANA,AFRICA,2012,6500
GHANA,AFRICA,2013,6600
GHANA,AFRICA,2014,6900
IVORY COAST,AFRICA,2005,2000
IVORY COAST,AFRICA,2006,2500
IVORY COAST,AFRICA,2007,2000
IVORY COAST,AFRICA,2008,2500
IVORY COAST,AFRICA,2009,3000
IVORY COAST,AFRICA,2010,3500
IVORY COAST,AFRICA,2011,3500
IVORY COAST,AFRICA,2012,5000
IVORY COAST,AFRICA,2013,4000
IVORY COAST,AFRICA,2014,4300
KENYA,AFRICA,2005,2000
KENYA,AFRICA,2006,3000
KENYA,AFRICA,2007,2000
KENYA,AFRICA,2008,2000
KENYA,AFRICA,2009,5000
KENYA,AFRICA,2010,4000
KENYA,AFRICA,2011,4000
KENYA,AFRICA,2012,2000
KENYA,AFRICA,2013,2500
KENYA,AFRICA,2014,3000
LIBERIA,AFRICA,2005,300
LIBERIA,AFRICA,2006,200
LIBERIA,AFRICA,2007,300
LIBERIA,AFRICA,2008,300
LIBERIA,AFRICA,2009,200
LIBERIA,AFRICA,2010,300
LIBERIA,AFRICA,2011,200
LIBERIA,AFRICA,2012,210
LIBERIA,AFRICA,2013,210
LIBERIA,AFRICA,2014,200
LIBYA,AFRICA,2005,35000
LIBYA,AFRICA,2006,35000
LIBYA,AFRICA,2007,36000
LIBYA,AFRICA,2008,37000
LIBYA,AFRICA,2009,37500
LIBYA,AFRICA,2010,38000
LIBYA,AFRICA,2011,39000
LIBYA,AFRICA,2012,20000
LIBYA,AFRICA,2013,30000
LIBYA,AFRICA,2014,30000
MADAGASCAR,AFRICA,2005,930
MADAGASCAR,AFRICA,2006,1100
MADAGASCAR,AFRICA,2007,1100
MADAGASCAR,AFRICA,2008,1000
MADAGASCAR,AFRICA,2009,900
MADAGASCAR,AFRICA,2010,900
MADAGASCAR,AFRICA,2011,1100
MADAGASCAR,AFRICA,2012,1200
MADAGASCAR,AFRICA,2013,1200
MADAGASCAR,AFRICA,2014,1600
MALAWI,AFRICA,2005,930
MALAWI,AFRICA,2006,1100
MALAWI,AFRICA,2007,1100
MALAWI,AFRICA,2008,1000
MALAWI,AFRICA,2009,1000
MALAWI,AFRICA,2010,1500
MALAWI,AFRICA,2011,1500
MALAWI,AFRICA,2012,1000
MALAWI,AFRICA,2013,1000
MALAWI,AFRICA,2014,1100
MAURITIUS,AFRICA,2005,2900
MAURITIUS,AFRICA,2006,3500
MAURITIUS,AFRICA,2007,4000
MAURITIUS,AFRICA,2008,4000
MAURITIUS,AFRICA,2009,3000
MAURITIUS,AFRICA,2010,4000
MAURITIUS,AFRICA,2011,3000
MAURITIUS,AFRICA,2012,7000
MAURITIUS,AFRICA,2013,7500
MAURITIUS,AFRICA,2014,8600
MOROCCO,AFRICA,2005,56183
MOROCCO,AFRICA,2006,75295
MOROCCO,AFRICA,2007,90941
MOROCCO,AFRICA,2008,102095
MOROCCO,AFRICA,2009,93761
MOROCCO,AFRICA,2010,91119
MOROCCO,AFRICA,2011,99727
MOROCCO,AFRICA,2012,117818
MOROCCO,AFRICA,2013,108177
MOROCCO,AFRICA,2014,109649
NIGERIA,AFRICA,2005,16000
NIGERIA,AFRICA,2006,22000
NIGERIA,AFRICA,2007,7000
NIGERIA,AFRICA,2008,7000
NIGERIA,AFRICA,2009,34000
NIGERIA,AFRICA,2010,25000
NIGERIA,AFRICA,2011,30000
NIGERIA,AFRICA,2012,40000
NIGERIA,AFRICA,2013,40000
NIGERIA,AFRICA,2014,42000
REUNION,AFRICA,2005,25142
REUNION,AFRICA,2006,22437
REUNION,AFRICA,2007,24819
REUNION,AFRICA,2008,23267
REUNION,AFRICA,2009,20935
REUNION,AFRICA,2010,20295
REUNION,AFRICA,2011,21111
REUNION,AFRICA,2012,19795
REUNION,AFRICA,2013,19465
REUNION,AFRICA,2014,20605
SENEGAL,AFRICA,2005,3000
SENEGAL,AFRICA,2006,3000
SENEGAL,AFRICA,2007,3000
SENEGAL,AFRICA,2008,3000
SENEGAL,AFRICA,2009,4000
SENEGAL,AFRICA,2010,4000
SENEGAL,AFRICA,2011,3500
SENEGAL,AFRICA,2012,4000
SENEGAL,AFRICA,2013,4000
SENEGAL,AFRICA,2014,4500
SOUTH AFRICA,AFRICA,2005,419868
SOUTH AFRICA,AFRICA,2006,481558
SOUTH AFRICA,AFRICA,2007,434653
SOUTH AFRICA,AFRICA,2008,329262
SOUTH AFRICA,AFRICA,2009,258129
SOUTH AFRICA,AFRICA,2010,337130
SOUTH AFRICA,AFRICA,2011,396292
SOUTH AFRICA,AFRICA,2012,440002
SOUTH AFRICA,AFRICA,2013,450561
SOUTH AFRICA,AFRICA,2014,439264
SUDAN,AFRICA,2005,2000
SUDAN,AFRICA,2006,2000
SUDAN,AFRICA,2007,2500
SUDAN,AFRICA,2008,3000
SUDAN,AFRICA,2009,7000
SUDAN,AFRICA,2010,2000
SUDAN,AFRICA,2011,2000
SUDAN,AFRICA,2012,2000
SUDAN,AFRICA,2013,1500
SUDAN,AFRICA,2014,1800
TANZANIA,AFRICA,2005,2000
TANZANIA,AFRICA,2006,2000
TANZANIA,AFRICA,2007,2000
TANZANIA,AFRICA,2008,2000
TANZANIA,AFRICA,2009,2000
TANZANIA,AFRICA,2010,2000
TANZANIA,AFRICA,2011,3000
TANZANIA,AFRICA,2012,3000
TANZANIA,AFRICA,2013,3500
TANZANIA,AFRICA,2014,1000
TUNISIA,AFRICA,2005,25000
TUNISIA,AFRICA,2006,30000
TUNISIA,AFRICA,2007,30000
TUNISIA,AFRICA,2008,33000
TUNISIA,AFRICA,2009,35000
TUNISIA,AFRICA,2010,45000
TUNISIA,AFRICA,2011,35000
TUNISIA,AFRICA,2012,37000
TUNISIA,AFRICA,2013,35000
TUNISIA,AFRICA,2014,37100
UGANDA,AFRICA,2005,3000
UGANDA,AFRICA,2006,3500
UGANDA,AFRICA,2007,3000
UGANDA,AFRICA,2008,3000
UGANDA,AFRICA,2009,3000
UGANDA,AFRICA,2010,3000
UGANDA,AFRICA,2011,3000
UGANDA,AFRICA,2012,3000
UGANDA,AFRICA,2013,3000
UGANDA,AFRICA,2014,3000
ZAMBIA,AFRICA,2005,2300
ZAMBIA,AFRICA,2006,2700
ZAMBIA,AFRICA,2007,2800
ZAMBIA,AFRICA,2008,2600
ZAMBIA,AFRICA,2009,3000
ZAMBIA,AFRICA,2010,2000
ZAMBIA,AFRICA,2011,2000
ZAMBIA,AFRICA,2012,2000
ZAMBIA,AFRICA,2013,2000
ZAMBIA,AFRICA,2014,2000
ZIMBABWE,AFRICA,2005,7000
ZIMBABWE,AFRICA,2006,6000
ZIMBABWE,AFRICA,2007,3000
ZIMBABWE,AFRICA,2008,3000
ZIMBABWE,AFRICA,2009,3000
ZIMBABWE,AFRICA,2010,2000
ZIMBABWE,AFRICA,2011,3000
ZIMBABWE,AFRICA,2012,3000
ZIMBABWE,AFRICA,2013,3000
ZIMBABWE,AFRICA,2014,4100
